Timestamp,University,Gender,Current academic year,G.P.A value,sports,Number of practice days per week 
2018/05/23 10:02:01 AM GMT+5:30,University of Colombo,Male,Graduated,3.52,No,
2018/05/23 10:05:31 AM GMT+5:30,University of Colombo,Female,4th year,3.7,No,
2018/05/23 10:07:35 AM GMT+5:30,University of Colombo,Female,2nd year,4,Yes,more than 3 days
2018/05/23 10:12:43 AM GMT+5:30,University of Colombo,Male,4th year,2.5679,Yes,3 days
2018/05/23 10:16:47 AM GMT+5:30,University of Colombo,Male,2nd year,3.54,Yes,2 days
2018/05/23 10:20:15 AM GMT+5:30,University of Colombo,Female,Graduated,3.36,No,
2018/05/23 10:45:30 AM GMT+5:30,University of Colombo,Male,1st year,3.9,Yes,more than 3 days
2018/05/23 11:27:10 AM GMT+5:30,University of Moratuwa,Female,3rd year,3.76,Yes,2 days
2018/05/23 11:34:48 AM GMT+5:30,University of Colombo,Male,Graduated,2.87,No,
2018/05/23 11:57:06 AM GMT+5:30,University of Colombo,Male,Graduated,3.67,No,
2018/05/23 12:01:21 PM GMT+5:30,University of Moratuwa,Male,Graduated,3.74,No,
2018/05/23 12:04:37 PM GMT+5:30,University of Colombo,Male,2nd year,3.1,Yes,more than 3 days
2018/05/23 12:05:34 PM GMT+5:30,University of Colombo,Female,2nd year,3.45,No,
2018/05/23 12:06:47 PM GMT+5:30,University of Colombo,Male,4th year,2.9,No,
2018/05/23 12:07:44 PM GMT+5:30,University of Colombo,Female,4th year,3.54,No,
2018/05/23 12:18:34 PM GMT+5:30,University of Colombo,Female,2nd year,3.3,Yes,2 days
2018/05/23 12:19:40 PM GMT+5:30,University of Colombo,Female,2nd year,3.1,No,
2018/05/23 12:36:03 PM GMT+5:30,University of Colombo,Male,2nd year,3,Yes,2 days
2018/05/23 1:04:39 PM GMT+5:30,University of Colombo,Male,4th year,2.75,No,
2018/05/23 1:23:46 PM GMT+5:30,University of Colombo,Female,2nd year,2.8,Yes,more than 3 days
2018/05/23 1:34:11 PM GMT+5:30,University of Colombo,Female,4th year,3.4,Yes,2 days
2018/05/23 1:41:22 PM GMT+5:30,University of Colombo,Female,2nd year,2.9,Yes,2 days
2018/05/23 1:47:26 PM GMT+5:30,University of Colombo,Female,4th year,3.17,No,
2018/05/23 2:00:10 PM GMT+5:30,University of Colombo,Female,4th year,3.66,No,
2018/05/23 2:45:52 PM GMT+5:30,University of Colombo,Male,4th year,2.74,Yes,3 days
2018/05/23 3:00:18 PM GMT+5:30,University of Colombo,Male,2nd year,3.39,Yes,2 days
2018/05/23 3:01:46 PM GMT+5:30,University of Colombo,Female,2nd year,2.8,No,
2018/05/23 3:02:45 PM GMT+5:30,University of Colombo,Female,2nd year,3.1547,No,
